epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.119,0.71819,1.00725,0.86497,0.99904,0.998,0.99499,0.86944,0.49811,0.97084,0.79889,0.00066,0.00066,0.00066
2,775.16,0.54027,0.43588,0.82338,0.99972,0.99924,0.995,0.90346,0.43224,0.40082,0.78461,0.0013004,0.0013004,0.0013004
3,1161.27,0.49736,0.40296,0.81448,0.99931,0.99981,0.995,0.93286,0.39656,0.36773,0.77634,0.0019144,0.0019144,0.0019144
4,1495.84,0.48478,0.37915,0.81221,0.99997,1,0.995,0.94612,0.33658,0.31728,0.76988,0.0018812,0.0018812,0.0018812
